# E_gamma(MeV)   TotalSpectrum
1.7079100000e+01 8.6413107807e+18
1.7968400000e+01 8.1184511649e+18
1.8904000000e+01 7.6258001721e+18
1.9888300000e+01 7.1539910759e+18
2.0923800000e+01 6.7143486609e+18
2.2013300000e+01 6.2877774390e+18
2.3159500000e+01 5.8875066184e+18
2.4365400000e+01 5.5098660739e+18
2.5634100000e+01 5.1542865185e+18
2.6968800000e+01 4.8205334560e+18
2.8373000000e+01 4.5032033768e+18
2.9850400000e+01 4.2115505760e+18
3.1404700000e+01 3.9346281791e+18
3.3039900000e+01 3.6745370557e+18
3.4760200000e+01 3.4259729316e+18
3.6570100000e+01 3.1929040250e+18
3.8474300000e+01 2.9725250942e+18
4.0477600000e+01 2.7621725283e+18
4.2585200000e+01 2.5648766427e+18
4.4802500000e+01 2.3774732476e+18
4.7135300000e+01 2.2027465294e+18
4.9589600000e+01 2.0375349505e+18
5.2171700000e+01 1.8853193641e+18
5.4888200000e+01 1.7468839169e+18
5.7746200000e+01 1.6202658933e+18
6.0752900000e+01 1.5046084152e+18
6.3916200000e+01 1.3982664780e+18
6.7244300000e+01 1.3003242737e+18
7.0745600000e+01 1.2087326127e+18
7.4429200000e+01 1.1214129324e+18
7.8304700000e+01 1.0381963061e+18
8.2381900000e+01 9.5841805321e+17
8.6671400000e+01 8.8256261301e+17
9.1184300000e+01 8.1038509725e+17
9.5932100000e+01 7.4263714553e+17
1.0092700000e+02 6.7900625266e+17
1.0618200000e+02 6.1994177629e+17
1.1171100000e+02 5.6496128296e+17
1.1752800000e+02 5.1412107827e+17
1.2364700000e+02 4.6758537924e+17
1.3008500000e+02 4.2445904629e+17
1.3685900000e+02 3.8501754615e+17
1.4398500000e+02 3.4909743559e+17
1.5148200000e+02 3.1612519688e+17
1.5936900000e+02 2.8572705116e+17
1.6766800000e+02 2.5730711099e+17
1.7639800000e+02 2.3084807910e+17
1.8558300000e+02 2.0593805141e+17
1.9524600000e+02 1.8316236275e+17
2.0541200000e+02 1.6194089652e+17
2.1610700000e+02 1.4263593218e+17
2.2736000000e+02 1.2487373461e+17
2.3919800000e+02 1.0857867008e+17
2.5165300000e+02 9.4079922034e+16
2.6475600000e+02 8.1213939696e+16
2.7854100000e+02 7.0225888636e+16
2.9304500000e+02 6.0893881954e+16
3.0830300000e+02 5.2983931170e+16
3.2435600000e+02 4.6333699682e+16
3.4124500000e+02 4.0608006571e+16
3.5901300000e+02 3.5746823789e+16
3.7770600000e+02 3.1551762175e+16
3.9737300000e+02 2.7811179336e+16
4.1806400000e+02 2.4423823015e+16
4.3983200000e+02 2.1260837049e+16
4.6273300000e+02 1.8284115650e+16
4.8682700000e+02 1.5593866564e+16
5.1217600000e+02 1.3156680602e+16
5.3884400000e+02 1.1055799939e+16
5.6690100000e+02 9.2587666318e+15
5.9641800000e+02 7.7465883132e+15
6.2747300000e+02 6.4701407608e+15
6.6014500000e+02 5.3541403610e+15
6.9451800000e+02 4.3853076844e+15
7.3068000000e+02 3.5187548499e+15
7.6872600000e+02 2.7404507713e+15
8.0875200000e+02 2.0658580468e+15
8.5086300000e+02 1.4884161454e+15
8.9516600000e+02 1.0295262258e+15
9.4177700000e+02 6.8855209711e+14
9.9081400000e+02 4.4733667216e+14
1.0424000000e+03 2.9069338464e+14
1.0966800000e+03 1.8872238197e+14
1.1537800000e+03 1.2380854076e+14
1.2138600000e+03 8.1748570644e+13
1.2770600000e+03 5.2293424502e+13
1.3435600000e+03 3.1994071995e+13
1.4135200000e+03 1.8492000722e+13
1.4871200000e+03 9.9992673026e+12
1.5645500000e+03 5.2710731221e+12
1.6460100000e+03 2.7111645267e+12
1.7317200000e+03 1.3793719520e+12
1.8218900000e+03 7.0078249605e+11
1.9167500000e+03 3.2560351412e+11
2.0165500000e+03 1.4380823063e+11
2.1215500000e+03 6.0024547416e+10
2.2320200000e+03 2.3921139690e+10
2.3482300000e+03 9.5961472164e+09
2.4705000000e+03 3.4537693464e+09
2.5991400000e+03 1.1683757823e+09
2.7344700000e+03 3.9518227711e+08
2.8768500000e+03 1.2599167066e+08
3.0266500000e+03 4.0906823385e+07
3.1842400000e+03 1.3991917291e+07
3.3500400000e+03 4.8333228015e+06
3.5244700000e+03 4.6579847468e+05
3.7079900000e+03 9.3619292232e+04
3.9010600000e+03 1.8132337256e+04
4.1041800000e+03 3.2729931086e+03
4.3178800000e+03 5.0328438411e+02
4.5427100000e+03 7.6166052837e+01
4.7792400000e+03 9.5347526790e+00
5.0280900000e+03 1.0768938792e+00
5.2898900000e+03 1.2113140120e-01
5.5653300000e+03 1.0493988972e-02
5.8551100000e+03 8.1585491513e-04
6.1599800000e+03 6.4514739575e-05
6.4807200000e+03 3.5970288822e-06
6.8181600000e+03 2.1072599208e-07
7.1731700000e+03 9.3927582824e-09
7.5466700000e+03 3.9462283190e-10
7.9396200000e+03 1.3433134043e-11
8.3530200000e+03 4.0314346487e-13
8.7879500000e+03 9.9004993113e-15
9.2455300000e+03 1.9052535880e-16
9.7269300000e+03 3.2217863636e-18
1.0233400000e+04 4.4160799488e-20
1.0766200000e+04 4.3650812837e-22
1.1326800000e+04 3.8541749798e-24
1.1916600000e+04 2.5641882585e-26
1.2537100000e+04 1.1724450712e-28
1.3189900000e+04 5.1247104209e-31
1.3876600000e+04 1.3353522602e-33
1.4599200000e+04 3.0261792825e-36
1.5359300000e+04 4.5433507217e-39
1.6159100000e+04 5.0584268771e-42
1.7000500000e+04 3.6676029693e-45
1.7885700000e+04 2.1272932685e-48
1.8816900000e+04 7.8629036250e-52
1.9796700000e+04 1.9296303145e-55
2.0827500000e+04 2.7690930623e-59
2.1912000000e+04 2.5556204255e-63
2.3052900000e+04 1.5697297479e-67
2.4253200000e+04 9.3568804663e-72
2.5516100000e+04 1.2790947458e-76
2.6844600000e+04 6.2032770678e-81
2.8242400000e+04 2.5192639476e-86
2.9713000000e+04 3.6203108837e-92
3.1260100000e+04 6.7968244038e-98
3.2887700000e+04 1.8555557440e-102
3.4600200000e+04 3.1775622853e-110
3.6401700000e+04 8.6195108692e-115
3.8297100000e+04 1.4872204866e-121
4.0291200000e+04 7.0714067435e-129
4.2389100000e+04 4.2079456401e-136
4.4596300000e+04 5.7381252959e-147
4.6918300000e+04 6.5769842431e-152
4.9361300000e+04 8.2182902646e-161
5.1931500000e+04 2.8022864185e-174
5.4635500000e+04 3.6503841319e-180
5.7480300000e+04 1.5499956122e-190
6.0473200000e+04 6.9730373580e-200
6.3622000000e+04 1.5760374810e-217
6.6934700000e+04 9.2727935065e-230
7.0419900000e+04 1.2156345381e-242
7.4086600000e+04 3.2021866744e-256
7.7944200000e+04 2.0046495247e-270
8.2002600000e+04 3.0617681957e-276
8.6272400000e+04 1.7644836486e-294
9.0764500000e+04 0.0000000000e+00
9.5490400000e+04 0.0000000000e+00
1.0046300000e+05 0.0000000000e+00
1.0569300000e+05 0.0000000000e+00
1.1119700000e+05 0.0000000000e+00
1.1698700000e+05 0.0000000000e+00
1.2307800000e+05 0.0000000000e+00
1.2948600000e+05 0.0000000000e+00
1.3622900000e+05 0.0000000000e+00
1.4332200000e+05 0.0000000000e+00
1.5078500000e+05 0.0000000000e+00
1.5863600000e+05 0.0000000000e+00
1.6689600000e+05 0.0000000000e+00
1.7558600000e+05 0.0000000000e+00
1.8472800000e+05 0.0000000000e+00
1.9434700000e+05 0.0000000000e+00
2.0446600000e+05 0.0000000000e+00
2.1511200000e+05 0.0000000000e+00
2.2631300000e+05 0.0000000000e+00
2.3809700000e+05 0.0000000000e+00
2.5049400000e+05 0.0000000000e+00
2.6353700000e+05 0.0000000000e+00
2.7725900000e+05 0.0000000000e+00
2.9169600000e+05 0.0000000000e+00
3.0688400000e+05 0.0000000000e+00
3.2286300000e+05 0.0000000000e+00
3.3967400000e+05 0.0000000000e+00
3.5736000000e+05 0.0000000000e+00
3.7596700000e+05 0.0000000000e+00
3.9554400000e+05 0.0000000000e+00
4.1613900000e+05 0.0000000000e+00
4.3780700000e+05 0.0000000000e+00
4.6060300000e+05 0.0000000000e+00
4.8458600000e+05 0.0000000000e+00
5.0981800000e+05 0.0000000000e+00
5.3636300000e+05 0.0000000000e+00
5.6429100000e+05 0.0000000000e+00
5.9367300000e+05 0.0000000000e+00
6.2458400000e+05 0.0000000000e+00
6.5710600000e+05 0.0000000000e+00
6.9132000000e+05 0.0000000000e+00
7.2731700000e+05 0.0000000000e+00
7.6518700000e+05 0.0000000000e+00
8.0502900000e+05 0.0000000000e+00
8.4694600000e+05 0.0000000000e+00
8.9104500000e+05 0.0000000000e+00
9.3744100000e+05 0.0000000000e+00
9.8625200000e+05 0.0000000000e+00
1.0376100000e+06 0.0000000000e+00
1.0916300000e+06 0.0000000000e+00
1.1484700000e+06 0.0000000000e+00
1.2082700000e+06 0.0000000000e+00
1.2711800000e+06 0.0000000000e+00
1.3373700000e+06 0.0000000000e+00
1.4070100000e+06 0.0000000000e+00
1.4802700000e+06 0.0000000000e+00
1.5573400000e+06 0.0000000000e+00
1.6384300000e+06 0.0000000000e+00
1.7237400000e+06 0.0000000000e+00
1.8135000000e+06 0.0000000000e+00
1.9079200000e+06 0.0000000000e+00
2.0072700000e+06 0.0000000000e+00
2.1117800000e+06 0.0000000000e+00
2.2217400000e+06 0.0000000000e+00
2.3374200000e+06 0.0000000000e+00
2.4591300000e+06 0.0000000000e+00
2.5871700000e+06 0.0000000000e+00
2.7218800000e+06 0.0000000000e+00
2.8636100000e+06 0.0000000000e+00
3.0127100000e+06 0.0000000000e+00
3.1695800000e+06 0.0000000000e+00
3.3346200000e+06 0.0000000000e+00
3.5082500000e+06 0.0000000000e+00
3.6909200000e+06 0.0000000000e+00
3.8831000000e+06 0.0000000000e+00
4.0852900000e+06 0.0000000000e+00
4.2980000000e+06 0.0000000000e+00
4.5217900000e+06 0.0000000000e+00
4.7572400000e+06 0.0000000000e+00
5.0049400000e+06 0.0000000000e+00
5.2655400000e+06 0.0000000000e+00
5.5397100000e+06 0.0000000000e+00
5.8281500000e+06 0.0000000000e+00
6.1316200000e+06 0.0000000000e+00
6.4508800000e+06 0.0000000000e+00
6.7867700000e+06 0.0000000000e+00
7.1401500000e+06 0.0000000000e+00
7.5119300000e+06 0.0000000000e+00
7.9030700000e+06 0.0000000000e+00
8.3145700000e+06 0.0000000000e+00
8.7475000000e+06 0.0000000000e+00
9.2029700000e+06 0.0000000000e+00
9.6821500000e+06 0.0000000000e+00
1.0186300000e+07 0.0000000000e+00
1.0716700000e+07 0.0000000000e+00
1.1274700000e+07 0.0000000000e+00
1.1861700000e+07 0.0000000000e+00
1.2479400000e+07 0.0000000000e+00
1.3129100000e+07 0.0000000000e+00
1.3812800000e+07 0.0000000000e+00
1.4532000000e+07 0.0000000000e+00
1.5288600000e+07 0.0000000000e+00
1.6084700000e+07 0.0000000000e+00
1.6922200000e+07 0.0000000000e+00
1.7803300000e+07 0.0000000000e+00
1.8730300000e+07 0.0000000000e+00
1.9705600000e+07 0.0000000000e+00
2.0731600000e+07 0.0000000000e+00
2.1811100000e+07 0.0000000000e+00
2.2946800000e+07 0.0000000000e+00
2.4141600000e+07 0.0000000000e+00
2.5398600000e+07 0.0000000000e+00
2.6721100000e+07 0.0000000000e+00
2.8112400000e+07 0.0000000000e+00
2.9576200000e+07 0.0000000000e+00
3.1116200000e+07 0.0000000000e+00
3.2736300000e+07 0.0000000000e+00
3.4440900000e+07 0.0000000000e+00
3.6234200000e+07 0.0000000000e+00
3.8120800000e+07 0.0000000000e+00
4.0105700000e+07 0.0000000000e+00
4.2194000000e+07 0.0000000000e+00
4.4391000000e+07 0.0000000000e+00
4.6702300000e+07 0.0000000000e+00
4.9134100000e+07 0.0000000000e+00
5.1692400000e+07 0.0000000000e+00
5.4384000000e+07 0.0000000000e+00
5.7215700000e+07 0.0000000000e+00
6.0194800000e+07 0.0000000000e+00
6.3329100000e+07 0.0000000000e+00
6.6626500000e+07 0.0000000000e+00
7.0095700000e+07 0.0000000000e+00
7.3745500000e+07 0.0000000000e+00
7.7585300000e+07 0.0000000000e+00
8.1625100000e+07 0.0000000000e+00
8.5875200000e+07 0.0000000000e+00
9.0346600000e+07 0.0000000000e+00
9.5050800000e+07 0.0000000000e+00
1.0000000000e+08 0.0000000000e+00
