"Census API: Examples for /data/2023/acs/acs5
",Geography Level,Example URL
state› county› tract› block group,150,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=block%20group:*&in=state:06&in=county:073&in=tract:*&key=YOUR_KEY_GOES_HERE"
state› county› tract› block group,150,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=block%20group:1&in=state:06%20county:073%20tract:018700&key=YOUR_KEY_GOES_HERE"
state› place› county (or part),155,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):*&in=state:06%20place:44000&key=YOUR_KEY_GOES_HERE"
state› place› county (or part),155,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):037&in=state:06%20place:44000&key=YOUR_KEY_GOES_HERE"
state› place,160,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place:*&key=YOUR_KEY_GOES_HERE"
state› place,160,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place:*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› place,160,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place:51000&in=state:36&key=YOUR_KEY_GOES_HERE"
state› consolidated city,170,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=consolidated%20city:*&key=YOUR_KEY_GOES_HERE"
state› consolidated city,170,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=consolidated%20city:*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› consolidated city,170,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=consolidated%20city:36000&in=state:18&key=YOUR_KEY_GOES_HERE"
state› consolidated city› place (or part),172,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place%20(or%20part):*&in=state:18%20consolidated%20city:36000&key=YOUR_KEY_GOES_HERE"
state› consolidated city› place (or part),172,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place%20(or%20part):36003&in=state:18%20consolidated%20city:36000&key=YOUR_KEY_GOES_HERE"
state› alaska native regional corporation,230,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=alaska%20native%20regional%20corporation:*&key=YOUR_KEY_GOES_HERE"
state› alaska native regional corporation,230,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=alaska%20native%20regional%20corporation:*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› alaska native regional corporation,230,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=alaska%20native%20regional%20corporation:17140&in=state:02&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land,250,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:*&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land,250,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5620&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal subdivision/remainder,251,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20subdivision/remainder:*&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal subdivision/remainder,251,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20subdivision/remainder:*&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:*&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal subdivision/remainder,251,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20subdivision/remainder:640&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5550&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area (reservation or statistical entity only),252,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):*&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area (reservation or statistical entity only),252,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):5620R&key=YOUR_KEY_GOES_HERE"
american indian area (off-reservation trust land only)/hawaiian home land,254,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:*&key=YOUR_KEY_GOES_HERE"
american indian area (off-reservation trust land only)/hawaiian home land,254,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:2430T&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal census tract,256,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20census%20tract:*&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:3000&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal census tract,256,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20census%20tract:T00500&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:3000&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal census tract› tribal block group,258,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20block%20group:*&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:2555%20tribal%20census%20tract:T00500&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal census tract› tribal block group,258,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20block%20group:B&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:2555%20tribal%20census%20tract:T00500&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› state (or part),260,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):*&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5620&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› state (or part),260,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):40&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5620&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› state (or part)› place/remainder (or part),269,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place/remainder%20(or%20part):*&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5620%20state%20(or%20part):40&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› state (or part)› place/remainder (or part),269,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place/remainder%20(or%20part):75000&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5620%20state%20(or%20part):40&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› state (or part)› county (or part),270,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):*&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5620%20state%20(or%20part):40&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› state (or part)› county (or part),270,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):143&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5620%20state%20(or%20part):40&key=YOUR_KEY_GOES_HERE"
state› american indian area/alaska native area/hawaiian home land (or part),280,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):*&in=state:40&key=YOUR_KEY_GOES_HERE"
state› american indian area/alaska native area/hawaiian home land (or part),280,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):5620&in=state:40&key=YOUR_KEY_GOES_HERE"
state› american indian area/alaska native area (reservation or statistical entity only) (or part),283,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only)%20(or%20part):*&in=state:40&key=YOUR_KEY_GOES_HERE"
state› american indian area/alaska native area (reservation or statistical entity only) (or part),283,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only)%20(or%20part):5620R&in=state:40&key=YOUR_KEY_GOES_HERE"
state› american indian area (off-reservation trust land only)/hawaiian home land (or part),286,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land%20(or%20part):*&in=state:35&key=YOUR_KEY_GOES_HERE"
state› american indian area (off-reservation trust land only)/hawaiian home land (or part),286,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land%20(or%20part):2430T&in=state:35&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal subdivision/remainder› state (or part),290,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):*&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5550%20tribal%20subdivision/remainder:640&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area/hawaiian home land› tribal subdivision/remainder› state (or part),290,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):40&in=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land:5550%20tribal%20subdivision/remainder:640&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area (reservation or statistical entity only)› tribal census tract (or part),291,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20census%20tract%20(or%20part):*&in=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):3000R&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area (reservation or statistical entity only)› tribal census tract (or part),291,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20census%20tract%20(or%20part):T00500&in=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):3000R&key=YOUR_KEY_GOES_HERE"
american indian area (off-reservation trust land only)/hawaiian home land› tribal census tract (or part),292,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20census%20tract%20(or%20part):*&in=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:2430T&key=YOUR_KEY_GOES_HERE"
american indian area (off-reservation trust land only)/hawaiian home land› tribal census tract (or part),292,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20census%20tract%20(or%20part):T00900&in=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:2430T&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area (reservation or statistical entity only)› tribal census tract (or part)› tribal block group (or part),293,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20block%20group%20(or%20part):*&in=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):2555R%20tribal%20census%20tract%20(or%20part):T00500&key=YOUR_KEY_GOES_HERE"
american indian area/alaska native area (reservation or statistical entity only)› tribal census tract (or part)› tribal block group (or part),293,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20block%20group%20(or%20part):B&in=american%20indian%20area/alaska%20native%20area%20(reservation%20or%20statistical%20entity%20only):2555R%20tribal%20census%20tract%20(or%20part):T00500&key=YOUR_KEY_GOES_HERE"
american indian area (off-reservation trust land only)/hawaiian home land› tribal census tract (or part)› tribal block group (or part),294,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20block%20group%20(or%20part):*&in=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:4560T%20tribal%20census%20tract%20(or%20part):T00100&key=YOUR_KEY_GOES_HERE"
american indian area (off-reservation trust land only)/hawaiian home land› tribal census tract (or part)› tribal block group (or part),294,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tribal%20block%20group%20(or%20part):A&in=american%20indian%20area%20(off-reservation%20trust%20land%20only)/hawaiian%20home%20land:4560T%20tribal%20census%20tract%20(or%20part):T00100&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area,310,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:*&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area,310,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:35620&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› state (or part),311,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):*&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:31080&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› state (or part),311,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):06&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:31080&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› state (or part)› principal city (or part),312,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=principal%20city%20(or%20part):*&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:35620%20state%20(or%20part):36&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› state (or part)› principal city (or part),312,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=principal%20city%20(or%20part):51000&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:35620%20state%20(or%20part):36&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› state (or part)› county,313,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:*&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:31080%20state%20(or%20part):06&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› state (or part)› county,313,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:037&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:31080%20state%20(or%20part):06&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› metropolitan division,314,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20division:*&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:35620&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› metropolitan division,314,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20division:35614&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:35620&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› metropolitan division› state (or part),315,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):*&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:35620%20metropolitan%20division:35614&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› metropolitan division› state (or part),315,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):36&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:35620%20metropolitan%20division:35614&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› metropolitan division› state (or part)› county,316,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:*&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:31080%20metropolitan%20division:31084%20state%20(or%20part):06&key=YOUR_KEY_GOES_HERE"
metropolitan statistical area/micropolitan statistical area› metropolitan division› state (or part)› county,316,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:037&in=metropolitan%20statistical%20area/micropolitan%20statistical%20area:31080%20metropolitan%20division:31084%20state%20(or%20part):06&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part),320,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):*&in=state:06&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part),320,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):31080&in=state:06&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part)› principal city (or part),321,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=principal%20city%20(or%20part):*&in=state:36%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):35620&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part)› principal city (or part),321,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=principal%20city%20(or%20part):51000&in=state:36%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):35620&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part)› county,322,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:*&in=state:06%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):31080&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part)› county,322,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:037&in=state:06%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):31080&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part)› metropolitan division (or part),323,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20division%20(or%20part):*&in=state:36%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):35620&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part)› metropolitan division (or part),323,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20division%20(or%20part):35614&in=state:36%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):35620&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part)› metropolitan division (or part)› county,324,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:*&in=state:06%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):31080%20metropolitan%20division%20(or%20part):31084&key=YOUR_KEY_GOES_HERE"
state› metropolitan statistical area/micropolitan statistical area (or part)› metropolitan division (or part)› county,324,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:037&in=state:06%20metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):31080%20metropolitan%20division%20(or%20part):31084&key=YOUR_KEY_GOES_HERE"
combined statistical area,330,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=combined%20statistical%20area:*&key=YOUR_KEY_GOES_HERE"
combined statistical area,330,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=combined%20statistical%20area:408&key=YOUR_KEY_GOES_HERE"
combined statistical area› state (or part),331,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):*&in=combined%20statistical%20area:348&key=YOUR_KEY_GOES_HERE"
combined statistical area› state (or part),331,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):06&in=combined%20statistical%20area:348&key=YOUR_KEY_GOES_HERE"
combined statistical area› metropolitan statistical area/micropolitan statistical area,332,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:*&in=combined%20statistical%20area:408&key=YOUR_KEY_GOES_HERE"
combined statistical area› metropolitan statistical area/micropolitan statistical area,332,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20statistical%20area/micropolitan%20statistical%20area:35620&in=combined%20statistical%20area:408&key=YOUR_KEY_GOES_HERE"
combined statistical area› metropolitan statistical area/micropolitan statistical area› state (or part),333,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):*&in=combined%20statistical%20area:348%20metropolitan%20statistical%20area/micropolitan%20statistical%20area:31080&key=YOUR_KEY_GOES_HERE"
combined statistical area› metropolitan statistical area/micropolitan statistical area› state (or part),333,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):06&in=combined%20statistical%20area:348%20metropolitan%20statistical%20area/micropolitan%20statistical%20area:31080&key=YOUR_KEY_GOES_HERE"
state› combined statistical area (or part),340,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=combined%20statistical%20area%20(or%20part):*&in=state:06&key=YOUR_KEY_GOES_HERE"
state› combined statistical area (or part),340,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=combined%20statistical%20area%20(or%20part):348&in=state:06&key=YOUR_KEY_GOES_HERE"
state› combined statistical area (or part)› metropolitan statistical area/micropolitan statistical area (or part),341,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):*&in=state:06%20combined%20statistical%20area%20(or%20part):348&key=YOUR_KEY_GOES_HERE"
state› combined statistical area (or part)› metropolitan statistical area/micropolitan statistical area (or part),341,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=metropolitan%20statistical%20area/micropolitan%20statistical%20area%20(or%20part):31080&in=state:06%20combined%20statistical%20area%20(or%20part):348&key=YOUR_KEY_GOES_HERE"
urban area,400,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=urban%20area:*&key=YOUR_KEY_GOES_HERE"
urban area,400,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=urban%20area:63217&key=YOUR_KEY_GOES_HERE"
urban area› state (or part),410,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):*&in=urban%20area:63217&key=YOUR_KEY_GOES_HERE"
urban area› state (or part),410,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20(or%20part):36&in=urban%20area:63217&key=YOUR_KEY_GOES_HERE"
urban area› state (or part)› county (or part),430,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):*&in=urban%20area:51445%20state%20(or%20part):06&key=YOUR_KEY_GOES_HERE"
urban area› state (or part)› county (or part),430,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):037&in=urban%20area:51445%20state%20(or%20part):06&key=YOUR_KEY_GOES_HERE"
state› congressional district,500,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=congressional%20district:*&key=YOUR_KEY_GOES_HERE"
state› congressional district,500,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=congressional%20district:*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› congressional district,500,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=congressional%20district:98&in=state:72&key=YOUR_KEY_GOES_HERE"
