Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    4.98190e-05    1.12208e+21    0.00000e+00    4.22784e+21    4.22784e+21    4.22784e+21    0.00000e+00
    5.24130e-05    1.22038e+21    0.00000e+00    3.84868e+21    3.84868e+21    3.84868e+21    0.00000e+00
    5.51421e-05    1.30509e+21    0.00000e+00    3.39304e+21    3.39304e+21    3.39304e+21    0.00000e+00
    5.80132e-05    1.36439e+21    0.00000e+00    2.89121e+21    2.89121e+21    2.89121e+21    0.00000e+00
    6.10339e-05    1.37890e+21    0.00000e+00    2.38432e+21    2.38432e+21    2.38432e+21    0.00000e+00
    6.42119e-05    1.34046e+21    0.00000e+00    1.90300e+21    1.90300e+21    1.90300e+21    0.00000e+00
    6.75553e-05    1.23854e+21    0.00000e+00    1.47602e+21    1.47602e+21    1.47602e+21    0.00000e+00
    7.10728e-05    1.08133e+21    0.00000e+00    1.11775e+21    1.11775e+21    1.11775e+21    0.00000e+00
    7.47735e-05    8.90438e+20    0.00000e+00    8.25900e+20    8.25900e+20    8.25900e+20    0.00000e+00
    7.86668e-05    6.92564e+20    0.00000e+00    6.06317e+20    6.06317e+20    6.06317e+20    0.00000e+00
    8.27629e-05    5.11728e+20    0.00000e+00    4.41696e+20    4.41696e+20    4.41696e+20    0.00000e+00
    8.70722e-05    3.60834e+20    0.00000e+00    3.22459e+20    3.22459e+20    3.22459e+20    0.00000e+00
    9.16060e-05    2.47784e+20    0.00000e+00    2.39626e+20    2.39626e+20    2.39626e+20    0.00000e+00
    9.63758e-05    1.64884e+20    0.00000e+00    1.77952e+20    1.77952e+20    1.77952e+20    0.00000e+00
    1.01394e-04    1.08927e+20    0.00000e+00    1.30700e+20    1.30700e+20    1.30700e+20    0.00000e+00
    1.06673e-04    7.24426e+19    0.00000e+00    9.23722e+19    9.23722e+19    9.23722e+19    0.00000e+00
    1.12228e-04    4.85095e+19    0.00000e+00    6.11597e+19    6.11597e+19    6.11597e+19    0.00000e+00
    1.18071e-04    3.33058e+19    0.00000e+00    3.84229e+19    3.84229e+19    3.84229e+19    0.00000e+00
    1.24219e-04    2.22678e+19    0.00000e+00    2.27724e+19    2.27724e+19    2.27724e+19    0.00000e+00
    1.30687e-04    1.39300e+19    0.00000e+00    1.29257e+19    1.29257e+19    1.29257e+19    0.00000e+00
    1.37492e-04    8.14973e+18    0.00000e+00    7.40635e+18    7.40635e+18    7.40635e+18    0.00000e+00
    1.44651e-04    4.37981e+18    0.00000e+00    4.20178e+18    4.20178e+18    4.20178e+18    0.00000e+00
    1.52183e-04    2.26782e+18    0.00000e+00    2.41523e+18    2.41523e+18    2.41523e+18    0.00000e+00
    1.60106e-04    1.16458e+18    0.00000e+00    1.33291e+18    1.33291e+18    1.33291e+18    0.00000e+00
    1.68443e-04    5.92183e+17    0.00000e+00    6.60442e+17    6.60442e+17    6.60442e+17    0.00000e+00
    1.77214e-04    3.09839e+17    0.00000e+00    3.11991e+17    3.11991e+17    3.11991e+17    0.00000e+00
    1.86441e-04    1.48302e+17    0.00000e+00    1.38289e+17    1.38289e+17    1.38289e+17    0.00000e+00
    1.96149e-04    6.28565e+16    0.00000e+00    6.03375e+16    6.03375e+16    6.03375e+16    0.00000e+00
    2.06362e-04    2.60497e+16    0.00000e+00    2.74625e+16    2.74625e+16    2.74625e+16    0.00000e+00
    2.17107e-04    1.01497e+16    0.00000e+00    1.11592e+16    1.11592e+16    1.11592e+16    0.00000e+00
    2.28411e-04    4.09396e+15    0.00000e+00    4.13477e+15    4.13477e+15    4.13477e+15    0.00000e+00
    2.40304e-04    1.54273e+15    0.00000e+00    1.45773e+15    1.45773e+15    1.45773e+15    0.00000e+00
    2.52817e-04    4.85532e+14    0.00000e+00    4.86965e+14    4.86965e+14    4.86965e+14    0.00000e+00
    2.65980e-04    1.57833e+14    0.00000e+00    1.69060e+14    1.69060e+14    1.69060e+14    0.00000e+00
    2.79830e-04    4.86360e+13    0.00000e+00    4.92642e+13    4.92642e+13    4.92642e+13    0.00000e+00
    2.94400e-04    1.34633e+13    0.00000e+00    1.28364e+13    1.28364e+13    1.28364e+13    0.00000e+00
    3.09729e-04    3.60334e+12    0.00000e+00    3.68521e+12    3.68521e+12    3.68521e+12    0.00000e+00
    3.25856e-04    8.31829e+11    0.00000e+00    8.66783e+11    8.66783e+11    8.66783e+11    0.00000e+00
    3.42823e-04    1.97724e+11    0.00000e+00    1.90924e+11    1.90924e+11    1.90924e+11    0.00000e+00
    3.60673e-04    4.07760e+10    0.00000e+00    4.12999e+10    4.12999e+10    4.12999e+10    0.00000e+00
    3.79453e-04    6.99440e+09    0.00000e+00    7.14666e+09    7.14666e+09    7.14666e+09    0.00000e+00
    3.99211e-04    1.37744e+09    0.00000e+00    1.33820e+09    1.33820e+09    1.33820e+09    0.00000e+00
    4.19997e-04    2.02629e+08    0.00000e+00    2.10544e+08    2.10544e+08    2.10544e+08    0.00000e+00
    4.41866e-04    2.73941e+07    0.00000e+00    2.67627e+07    2.67627e+07    2.67627e+07    0.00000e+00
    4.64873e-04    3.92396e+06    0.00000e+00    3.94338e+06    3.94338e+06    3.94338e+06    0.00000e+00
    4.89079e-04    4.03464e+05    0.00000e+00    4.01124e+05    4.01124e+05    4.01124e+05    0.00000e+00
    5.14544e-04    4.36594e+04    8.74186e+04    4.37154e+04    4.37154e+04    4.37154e+04    0.00000e+00
    5.41336e-04    4.04134e+03    8.11858e+03    4.05929e+03    4.05929e+03    4.05929e+03    0.00000e+00
