Year,BuildingType,Target,BuildingTypeShorthand,Unit,ConstructionMethod
2028,Retail - warehouse,72.0,Retail W.H,kWh/m²GIA/yr,newbuild
2029,Retail - warehouse,70.0,Retail W.H,kWh/m²GIA/yr,newbuild
2030,Retail - warehouse,67.0,Retail W.H,kWh/m²GIA/yr,newbuild
2031,Retail - warehouse,64.0,Retail W.H,kWh/m²GIA/yr,newbuild
2032,Retail - warehouse,62.0,Retail W.H,kWh/m²GIA/yr,newbuild
2033,Retail - warehouse,59.0,Retail W.H,kWh/m²GIA/yr,newbuild
2034,Retail - warehouse,56.0,Retail W.H,kWh/m²GIA/yr,newbuild
2035,Retail - warehouse,54.0,Retail W.H,kWh/m²GIA/yr,newbuild
2036,Retail - warehouse,51.0,Retail W.H,kWh/m²GIA/yr,newbuild
2037,Retail - warehouse,48.0,Retail W.H,kWh/m²GIA/yr,newbuild
2038,Retail - warehouse,46.0,Retail W.H,kWh/m²GIA/yr,newbuild
2039,Retail - warehouse,43.0,Retail W.H,kWh/m²GIA/yr,newbuild
2040,Retail - warehouse,40.0,Retail W.H,kWh/m²GIA/yr,newbuild
2050,Retail - warehouse,40.0,Retail W.H,kWh/m²GIA/yr,newbuild
2025,School - Early years,50.0,School E.Y.,kWh/m²GIA/yr,newbuild
2026,School - Early years,50.0,School E.Y.,kWh/m²GIA/yr,newbuild
2027,School - Early years,49.0,School E.Y.,kWh/m²GIA/yr,newbuild
2028,School - Early years,48.0,School E.Y.,kWh/m²GIA/yr,newbuild
2029,School - Early years,48.0,School E.Y.,kWh/m²GIA/yr,newbuild
2030,School - Early years,47.0,School E.Y.,kWh/m²GIA/yr,newbuild
2031,School - Early years,46.0,School E.Y.,kWh/m²GIA/yr,newbuild
2032,School - Early years,46.0,School E.Y.,kWh/m²GIA/yr,newbuild
2033,School - Early years,45.0,School E.Y.,kWh/m²GIA/yr,newbuild
2034,School - Early years,44.0,School E.Y.,kWh/m²GIA/yr,newbuild
2035,School - Early years,44.0,School E.Y.,kWh/m²GIA/yr,newbuild
2036,School - Early years,43.0,School E.Y.,kWh/m²GIA/yr,newbuild
2037,School - Early years,42.0,School E.Y.,kWh/m²GIA/yr,newbuild
2038,School - Early years,42.0,School E.Y.,kWh/m²GIA/yr,newbuild
2039,School - Early years,41.0,School E.Y.,kWh/m²GIA/yr,newbuild
2040,School - Early years,40.0,School E.Y.,kWh/m²GIA/yr,newbuild
2050,School - Early years,40.0,School E.Y.,kWh/m²GIA/yr,newbuild
2025,School - Primary,45.0,School Pri.,kWh/m²GIA/yr,newbuild
2026,School - Primary,45.0,School Pri.,kWh/m²GIA/yr,newbuild
2027,School - Primary,44.0,School Pri.,kWh/m²GIA/yr,newbuild
2028,School - Primary,43.0,School Pri.,kWh/m²GIA/yr,newbuild
2029,School - Primary,43.0,School Pri.,kWh/m²GIA/yr,newbuild
2030,School - Primary,42.0,School Pri.,kWh/m²GIA/yr,newbuild
2031,School - Primary,41.0,School Pri.,kWh/m²GIA/yr,newbuild
2032,School - Primary,41.0,School Pri.,kWh/m²GIA/yr,newbuild
2033,School - Primary,40.0,School Pri.,kWh/m²GIA/yr,newbuild
2034,School - Primary,39.0,School Pri.,kWh/m²GIA/yr,newbuild
2035,School - Primary,39.0,School Pri.,kWh/m²GIA/yr,newbuild
2036,School - Primary,38.0,School Pri.,kWh/m²GIA/yr,newbuild
2037,School - Primary,37.0,School Pri.,kWh/m²GIA/yr,newbuild
2038,School - Primary,37.0,School Pri.,kWh/m²GIA/yr,newbuild
2039,School - Primary,36.0,School Pri.,kWh/m²GIA/yr,newbuild
2040,School - Primary,35.0,School Pri.,kWh/m²GIA/yr,newbuild
2050,School - Primary,35.0,School Pri.,kWh/m²GIA/yr,newbuild
2025,School - Secondary or SEN,60.0,School Sec.,kWh/m²GIA/yr,newbuild
2026,School - Secondary or SEN,59.0,School Sec.,kWh/m²GIA/yr,newbuild
2027,School - Secondary or SEN,58.0,School Sec.,kWh/m²GIA/yr,newbuild
2028,School - Secondary or SEN,57.0,School Sec.,kWh/m²GIA/yr,newbuild
2029,School - Secondary or SEN,56.0,School Sec.,kWh/m²GIA/yr,newbuild
2030,School - Secondary or SEN,55.0,School Sec.,kWh/m²GIA/yr,newbuild
2031,School - Secondary or SEN,54.0,School Sec.,kWh/m²GIA/yr,newbuild
2032,School - Secondary or SEN,53.0,School Sec.,kWh/m²GIA/yr,newbuild
2033,School - Secondary or SEN,52.0,School Sec.,kWh/m²GIA/yr,newbuild
2034,School - Secondary or SEN,51.0,School Sec.,kWh/m²GIA/yr,newbuild
2035,School - Secondary or SEN,50.0,School Sec.,kWh/m²GIA/yr,newbuild
2036,School - Secondary or SEN,49.0,School Sec.,kWh/m²GIA/yr,newbuild
2037,School - Secondary or SEN,48.0,School Sec.,kWh/m²GIA/yr,newbuild
2038,School - Secondary or SEN,47.0,School Sec.,kWh/m²GIA/yr,newbuild
2039,School - Secondary or SEN,46.0,School Sec.,kWh/m²GIA/yr,newbuild
2040,School - Secondary or SEN,45.0,School Sec.,kWh/m²GIA/yr,newbuild
2050,School - Secondary or SEN,45.0,School Sec.,kWh/m²GIA/yr,newbuild
2025,Science and Technology,305.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2026,Science and Technology,297.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2027,Science and Technology,289.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2028,Science and Technology,280.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2029,Science and Technology,272.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2030,Science and Technology,264.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2031,Science and Technology,255.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2032,Science and Technology,247.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2033,Science and Technology,239.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2034,Science and Technology,230.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2035,Science and Technology,222.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2036,Science and Technology,214.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2037,Science and Technology,205.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2038,Science and Technology,197.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2039,Science and Technology,189.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2040,Science and Technology,180.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2050,Science and Technology,180.0,Sci. &Tech.,kWh/m²GIA/yr,newbuild
2025,Sport & Leisure - Dry,80.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2026,Sport & Leisure - Dry,79.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2027,Sport & Leisure - Dry,78.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2028,Sport & Leisure - Dry,76.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2029,Sport & Leisure - Dry,75.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2030,Sport & Leisure - Dry,74.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2031,Sport & Leisure - Dry,72.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2032,Sport & Leisure - Dry,71.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2033,Sport & Leisure - Dry,70.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2034,Sport & Leisure - Dry,68.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2035,Sport & Leisure - Dry,67.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2036,Sport & Leisure - Dry,66.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2037,Sport & Leisure - Dry,64.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2038,Sport & Leisure - Dry,63.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2039,Sport & Leisure - Dry,62.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2040,Sport & Leisure - Dry,60.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2050,Sport & Leisure - Dry,60.0,Sport &L Dry,kWh/m²GIA/yr,newbuild
2025,Sport & Leisure - Wet,350.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2026,Sport & Leisure - Wet,344.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2027,Sport & Leisure - Wet,337.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2028,Sport & Leisure - Wet,330.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2029,Sport & Leisure - Wet,324.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2030,Sport & Leisure - Wet,317.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2031,Sport & Leisure - Wet,310.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2032,Sport & Leisure - Wet,304.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2033,Sport & Leisure - Wet,297.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2034,Sport & Leisure - Wet,290.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2035,Sport & Leisure - Wet,284.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2036,Sport & Leisure - Wet,277.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2037,Sport & Leisure - Wet,270.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2038,Sport & Leisure - Wet,264.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2039,Sport & Leisure - Wet,257.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2040,Sport & Leisure - Wet,250.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2050,Sport & Leisure - Wet,250.0,Sport &L Wet,kWh/m²GIA/yr,newbuild
2025,Sport & Leisure - Fitness,150.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2026,Sport & Leisure - Fitness,148.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2027,Sport & Leisure - Fitness,145.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2028,Sport & Leisure - Fitness,142.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2029,Sport & Leisure - Fitness,140.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2030,Sport & Leisure - Fitness,137.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2031,Sport & Leisure - Fitness,134.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2032,Sport & Leisure - Fitness,132.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2033,Sport & Leisure - Fitness,129.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2034,Sport & Leisure - Fitness,126.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2035,Sport & Leisure - Fitness,124.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2036,Sport & Leisure - Fitness,121.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2037,Sport & Leisure - Fitness,118.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2038,Sport & Leisure - Fitness,116.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2039,Sport & Leisure - Fitness,113.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2040,Sport & Leisure - Fitness,110.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2050,Sport & Leisure - Fitness,110.0,Sport &L Fit.,kWh/m²GIA/yr,newbuild
2025,Storage & Distribution - Unconditioned,35.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2026,Storage & Distribution - Unconditioned,34.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2027,Storage & Distribution - Unconditioned,33.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2028,Storage & Distribution - Unconditioned,32.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2029,Storage & Distribution - Unconditioned,31.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2030,Storage & Distribution - Unconditioned,30.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2031,Storage & Distribution - Unconditioned,29.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2032,Storage & Distribution - Unconditioned,28.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2033,Storage & Distribution - Unconditioned,27.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2034,Storage & Distribution - Unconditioned,26.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2035,Storage & Distribution - Unconditioned,25.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2036,Storage & Distribution - Unconditioned,24.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2037,Storage & Distribution - Unconditioned,23.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2038,Storage & Distribution - Unconditioned,22.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2039,Storage & Distribution - Unconditioned,21.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2040,Storage & Distribution - Unconditioned,20.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2050,Storage & Distribution - Unconditioned,20.0,Store & Dist Uncond.,kWh/m²GIA/yr,newbuild
2025,Storage & Distribution - Conditioned,80.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2026,Storage & Distribution - Conditioned,78.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2027,Storage & Distribution - Conditioned,75.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2028,Storage & Distribution - Conditioned,72.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2029,Storage & Distribution - Conditioned,70.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2030,Storage & Distribution - Conditioned,67.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2031,Storage & Distribution - Conditioned,64.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2032,Storage & Distribution - Conditioned,62.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2033,Storage & Distribution - Conditioned,59.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2034,Storage & Distribution - Conditioned,56.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2035,Storage & Distribution - Conditioned,54.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2036,Storage & Distribution - Conditioned,51.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2037,Storage & Distribution - Conditioned,48.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2038,Storage & Distribution - Conditioned,46.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2039,Storage & Distribution - Conditioned,43.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2040,Storage & Distribution - Conditioned,40.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2050,Storage & Distribution - Conditioned,40.0,Store & Dist Cond.,kWh/m²GIA/yr,newbuild
2025,Storage & Distribution - Cold Store,160.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2026,Storage & Distribution - Cold Store,154.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2027,Storage & Distribution - Cold Store,148.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2028,Storage & Distribution - Cold Store,141.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2029,Storage & Distribution - Cold Store,135.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2030,Storage & Distribution - Cold Store,129.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2031,Storage & Distribution - Cold Store,122.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2032,Storage & Distribution - Cold Store,116.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2033,Storage & Distribution - Cold Store,110.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2034,Storage & Distribution - Cold Store,103.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2035,Storage & Distribution - Cold Store,97.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2036,Storage & Distribution - Cold Store,91.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2037,Storage & Distribution - Cold Store,84.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2038,Storage & Distribution - Cold Store,78.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2039,Storage & Distribution - Cold Store,72.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2040,Storage & Distribution - Cold Store,65.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2050,Storage & Distribution - Cold Store,65.0,Store & Dist Cold,kWh/m²GIA/yr,newbuild
2025,Commercial Resi - Student Residential,110.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Commercial Resi - Student Residential,108.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Commercial Resi - Student Residential,106.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Commercial Resi - Student Residential,103.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Commercial Resi - Student Residential,101.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Commercial Resi - Student Residential,99.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Commercial Resi - Student Residential,96.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Commercial Resi - Student Residential,94.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Commercial Resi - Student Residential,92.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Commercial Resi - Student Residential,89.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Commercial Resi - Student Residential,87.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Commercial Resi - Student Residential,85.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Commercial Resi - Student Residential,82.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Commercial Resi - Student Residential,80.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Commercial Resi - Student Residential,78.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Commercial Resi - Student Residential,75.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Commercial Resi - Student Residential,75.0,Stud. Resi.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Commercial Resi - Care Home,220.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2026,Commercial Resi - Care Home,216.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2027,Commercial Resi - Care Home,211.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2028,Commercial Resi - Care Home,206.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2029,Commercial Resi - Care Home,202.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2030,Commercial Resi - Care Home,197.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2031,Commercial Resi - Care Home,192.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2032,Commercial Resi - Care Home,188.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2033,Commercial Resi - Care Home,183.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2034,Commercial Resi - Care Home,178.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2035,Commercial Resi - Care Home,174.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2036,Commercial Resi - Care Home,169.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2037,Commercial Resi - Care Home,164.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2038,Commercial Resi - Care Home,160.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2039,Commercial Resi - Care Home,155.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2040,Commercial Resi - Care Home,150.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2050,Commercial Resi - Care Home,150.0,Care Home,kWh/m²GIA/yr,retrofit-in-one-go
2025,Culture & Enterainment - Performance,130.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Culture & Enterainment - Performance,128.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Culture & Enterainment - Performance,125.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Culture & Enterainment - Performance,122.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Culture & Enterainment - Performance,120.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Culture & Enterainment - Performance,117.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Culture & Enterainment - Performance,114.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Culture & Enterainment - Performance,112.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Culture & Enterainment - Performance,109.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Culture & Enterainment - Performance,106.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Culture & Enterainment - Performance,104.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Culture & Enterainment - Performance,101.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Culture & Enterainment - Performance,98.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Culture & Enterainment - Performance,96.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Culture & Enterainment - Performance,93.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Culture & Enterainment - Performance,90.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Culture & Enterainment - Performance,90.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Culture & Enterainment - Collection (e.g. museum),100.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Culture & Enterainment - Collection (e.g. museum),98.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Culture & Enterainment - Collection (e.g. museum),96.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Culture & Enterainment - Collection (e.g. museum),93.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Culture & Enterainment - Collection (e.g. museum),91.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Culture & Enterainment - Collection (e.g. museum),89.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Culture & Enterainment - Collection (e.g. museum),86.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Culture & Enterainment - Collection (e.g. museum),84.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Culture & Enterainment - Collection (e.g. museum),82.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Culture & Enterainment - Collection (e.g. museum),79.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Culture & Enterainment - Collection (e.g. museum),77.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Culture & Enterainment - Collection (e.g. museum),75.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Culture & Enterainment - Collection (e.g. museum),72.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Culture & Enterainment - Collection (e.g. museum),70.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Culture & Enterainment - Collection (e.g. museum),68.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Culture & Enterainment - Collection (e.g. museum),65.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Culture & Enterainment - Collection (e.g. museum),65.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Culture & Enterainment - Archive,7.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Culture & Enterainment - Archive,7.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Acute Trust,258.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Acute Trust,258.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Acute Trust,258.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
