# Symbol Z A transition E_tran[keV] dE_tran[keV] N_pol[keV] alpha[1/fm]	k C_z[am/keV] barrett[fm] dbarrett_stat[fm] dbarrett_pol[fm]
Ru 44 96 2p12->1s 2889.8930 0.2280 1.3160 0.1044 2.1893 -4.3790 15.5431 0.0047 0.0080
Ru 44 96 2p32->1s 2919.6690 0.0290 1.3320 0.1038 2.1881 -4.3390 15.5591 0.0005 0.0080
Ru 44 98 2p12->1s 2880.8420 0.5300 1.3890 0.1042 2.1900 -4.3990 15.7596 0.0109 0.0085
Ru 44 98 2p32->1s 2910.8010 0.2300 1.4050 0.1035 2.1889 -4.3540 15.7867 0.0048 0.0086
Ru 44 99 2p12->1s 2877.5690 0.0780 1.2710 0.1041 2.1903 -4.4050 15.8459 0.0014 0.0081
Ru 44 99 2p32->1s 2907.2330 0.0500 1.2380 0.1034 2.1892 -4.3600 15.8728 0.0010 0.0076
Ru 44 100 2p12->1s 2872.2890 0.0790 1.4580 0.1039 2.1908 -4.4140 15.9873 0.0019 0.0091
Ru 44 100 2p32->1s 2901.9770 0.0620 1.4720 0.1033 2.1896 -4.3730 16.0045 0.0014 0.0091
Ru 44 101 2p12->1s 2869.6000 0.0630 1.0340 0.1038 2.1910 -4.4180 16.0494 0.0014 0.0067
Ru 44 101 2p32->1s 2899.5630 0.1020 1.4430 0.1032 2.1898 -4.3770 16.0668 0.0024 0.0091
Ru 44 102 2p12->1s 2864.4040 0.0350 1.5470 0.1037 2.1915 -4.4310 16.1910 0.0010 0.0101
Ru 44 102 2p32->1s 2893.9060 0.0290 1.5570 0.1030 2.1903 -4.3860 16.2164 0.0005 0.0096
Ru 44 104 2p12->1s 2856.2670 0.0450 1.6180 0.1034 2.1922 -4.4450 16.4085 0.0010 0.0106
Ru 44 104 2p32->1s 2885.6570 0.0370 1.6140 0.1028 2.1910 -4.4040 16.4265 0.0010 0.0106
Rh 45 103 2p12->1s 2961.2940 0.0300 1.4390 0.1053 2.1946 -4.1980 16.2199 0.0005 0.0086
Rh 45 103 2p32->1s 2993.1460 0.0220 1.4310 0.1046 2.1934 -4.1530 16.2458 0.0005 0.0086
Pd 46 102 2p12->1s 3065.5790 0.1090 1.5170 0.1072 2.1972 -3.9740 16.0756 0.0019 0.0090
Pd 46 102 2p32->1s 3100.1930 0.0800 1.5320 0.1064 2.1959 -3.9280 16.1064 0.0014 0.0090
Pd 46 104 2p12->1s 3057.6040 0.1390 1.5370 0.1069 2.1978 -3.9850 16.2654 0.0029 0.0086
Pd 46 104 2p32->1s 3092.1520 0.1200 1.5530 0.1062 2.1965 -3.9420 16.2890 0.0024 0.0086
Pd 46 105 2p12->1s 3054.5380 0.1040 0.8210 0.1069 2.1980 -3.9910 16.3152 0.0019 0.0048
Pd 46 105 2p32->1s 3090.0210 0.1490 1.7640 0.1062 2.1967 -3.9480 16.3389 0.0029 0.0100
Pd 46 106 2p12->1s 3050.0870 0.0760 1.6190 0.1067 2.1984 -3.9990 16.4422 0.0014 0.0091
Pd 46 106 2p32->1s 3084.5450 0.0530 1.6320 0.1060 2.1971 -3.9550 16.4657 0.0010 0.0091
Pd 46 108 2p12->1s 3042.5510 0.0720 1.6320 0.1065 2.1990 -4.0120 16.6201 0.0014 0.0096
Pd 46 108 2p32->1s 3076.8470 0.0470 1.6370 0.1058 2.1976 -3.9690 16.6420 0.0010 0.0096
Pd 46 110 2p12->1s 3035.6460 0.1380 1.6540 0.1064 2.1995 -4.0270 16.7745 0.0029 0.0096
Pd 46 110 2p32->1s 3069.9410 0.0880 1.6430 0.1056 2.1982 -3.9800 16.8074 0.0019 0.0097
Ag 47 107 2p12->1s 3147.1350 0.0280 1.4870 0.1084 2.2015 -3.8040 16.4514 0.0005 0.0081
Ag 47 107 2p32->1s 3184.3020 0.0210 1.4850 0.1076 2.2000 -3.7590 16.4783 0.0005 0.0081
Ag 47 109 2p12->1s 3140.0610 0.0310 1.4830 0.1082 2.2020 -3.8150 16.6097 0.0005 0.0081
Ag 47 109 2p32->1s 3177.1240 0.0230 1.4780 0.1074 2.2006 -3.7690 16.6397 0.0005 0.0081
Cd 48 106 2p12->1s 3251.7400 0.1090 1.5460 0.1102 2.2040 -3.6110 16.3132 0.0019 0.0080
Cd 48 106 2p32->1s 3291.7550 0.0660 1.5670 0.1094 2.2025 -3.5670 16.3398 0.0009 0.0080
Cd 48 108 2p12->1s 3244.7360 0.0740 1.5290 0.1101 2.2046 -3.6220 16.4557 0.0014 0.0080
Cd 48 108 2p32->1s 3284.7060 0.0610 1.5470 0.1093 2.2031 -3.5770 16.4827 0.0009 0.0081
Cd 48 110 2p12->1s 3237.7490 0.0470 1.5560 0.1099 2.2051 -3.6320 16.6054 0.0009 0.0081
Cd 48 110 2p32->1s 3277.6780 0.0400 1.5730 0.1091 2.2036 -3.5870 16.6327 0.0005 0.0081
Cd 48 111 2p12->1s 3235.8480 0.0590 1.4340 0.1098 2.2051 -3.6360 16.6438 0.0010 0.0076
Cd 48 111 2p32->1s 3275.8050 0.0430 1.4440 0.1089 2.2035 -3.5890 16.6768 0.0010 0.0076
Cd 48 112 2p12->1s 3230.9880 0.0390 1.5780 0.1096 2.2054 -3.6430 16.7550 0.0005 0.0081
Cd 48 112 2p32->1s 3270.8950 0.0300 1.5960 0.1088 2.2039 -3.5980 16.7827 0.0005 0.0081
Cd 48 113 2p12->1s 3229.1890 0.0530 1.3930 0.1096 2.2056 -3.6440 16.7898 0.0010 0.0072
Cd 48 113 2p32->1s 3268.9590 0.0400 1.4000 0.1088 2.2041 -3.5990 16.8177 0.0005 0.0072
Cd 48 114 2p12->1s 3224.8520 0.0310 1.5760 0.1093 2.2056 -3.6530 16.8923 0.0005 0.0081
Cd 48 114 2p32->1s 3264.6990 0.0250 1.5930 0.1085 2.2041 -3.6070 16.9205 0.0005 0.0082
Cd 48 116 2p12->1s 3219.6890 0.0370 1.5930 0.1093 2.2061 -3.6610 16.9972 0.0005 0.0082
Cd 48 116 2p32->1s 3259.4540 0.0310 1.6060 0.1085 2.2046 -3.6160 17.0256 0.0005 0.0082
In 49 113 2p12->1s 3329.1290 0.3970 0.9280 0.1113 2.2084 -3.4710 16.7265 0.0066 0.0047
In 49 113 2p32->1s 3372.6590 0.3380 1.9350 0.1105 2.2067 -3.4280 16.7486 0.0057 0.0095
In 49 115 2p12->1s 3322.9910 0.0320 0.9150 0.1112 2.2088 -3.4810 16.8439 0.0005 0.0048
In 49 115 2p32->1s 3366.7590 0.0210 1.9330 0.1103 2.2072 -3.4340 16.8776 0.0005 0.0095
Sn 50 112 2p12->1s 3432.5640 0.0600 1.5370 0.1131 2.2109 -3.3100 16.6091 0.0009 0.0070
Sn 50 112 2p32->1s 3478.5310 0.0560 1.5650 0.1121 2.2092 -3.2610 16.6480 0.0009 0.0071
Sn 50 114 2p12->1s 3426.6130 0.0710 1.5390 0.1129 2.2113 -3.3170 16.7341 0.0009 0.0071
Sn 50 114 2p32->1s 3471.9210 0.0680 1.5680 0.1120 2.2096 -3.2710 16.7653 0.0009 0.0071
Sn 50 116 2p12->1s 3420.0910 0.0620 1.5100 0.1128 2.2118 -3.3260 16.8541 0.0009 0.0071
Sn 50 116 2p32->1s 3465.7570 0.0580 1.5390 0.1119 2.2101 -3.2800 16.8857 0.0009 0.0071
Sn 50 117 2p12->1s 3418.1400 0.0630 1.4070 0.1127 2.2119 -3.3270 16.8948 0.0009 0.0066
Sn 50 117 2p32->1s 3463.8100 0.0600 1.4730 0.1118 2.2102 -3.2810 16.9261 0.0010 0.0067
Sn 50 118 2p12->1s 3414.3520 0.1120 1.5540 0.1126 2.2121 -3.3330 16.9724 0.0019 0.0071
