Table S2.  212 Mammal and Plant diet mOTUs (identified to individual reference sequence) found within scats from six focal species collected from JRBP, expressed by the Count (number of scats containing prey species); FOO (Frequency Of Occurrence = number of occurrences / total scat sample size); POO (Percentage Of Occurrence = number of occurrences / total number of prey species across all samples).,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Functional Group,OTUs,Family,Genus,Rank,RefSeq,Jackrabbit (n=13),,,Deer (n=12),,,Gray Fox (n=48),,,Puma (n=12),,,Coyote (n=9),,,Bobcat (n=19),,
Grass,Hainardia cylindrica,Poaceae,Hainardia,species,KJ598947,2,0.15,1.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Loliinae,Poaceae,NA,subtribe,AJ240151,1,0.08,0.5%,3,0.25,1.2%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Avena,Poaceae,Avena,genus,DQ092755,0,0.00,0.0%,3,0.25,1.2%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Briza maxima,Poaceae,Briza,species,EU532607,4,0.31,2.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Loliinae,Poaceae,NA,subtribe,EU050655,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Poa infirma,Poaceae,Poa,species,KJ598912,1,0.08,0.5%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Festuca bromoides,Poaceae,Festuca,species,KJ598933,1,0.08,0.5%,1,0.08,0.4%,4,0.08,1.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Nassella,Poaceae,Nassella,genus,KC129443,5,0.38,2.5%,5,0.42,1.9%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Bromus tectorum,Poaceae,Bromus,species,KX147532,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Grass,Lolium,Poaceae,Lolium,genus,X99974,1,0.08,0.5%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Brachypodium,Poaceae,Brachypodium,genus,KX282040,3,0.23,1.5%,5,0.42,1.9%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Amelichloa,Poaceae,Amelichloa,genus,KF294127,6,0.46,2.9%,4,0.33,1.5%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Lolium,Poaceae,Lolium,genus,AJ240137,1,0.08,0.5%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Festuca,Poaceae,Festuca,genus,EF397150,0,0.00,0.0%,1,0.08,0.4%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Hordeinae,Poaceae,NA,subtribe,AY740812,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Lolium,Poaceae,Lolium,genus,KJ598997,2,0.15,1.0%,4,0.33,1.5%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Gastridium phleoides,Poaceae,Gastridium,species,LR588231,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Leymus,Poaceae,Leymus,genus,EF581916,2,0.15,1.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Grass,Phalaris angusta,Poaceae,Phalaris,species,KX873129,2,0.15,1.0%,4,0.33,1.5%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Sorghum halepense,Poaceae,Sorghum,species,KT933738,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Bromus,Poaceae,Bromus,genus,KM077298,0,0.00,0.0%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Grass,Lolium,Poaceae,Lolium,genus,AJ240139,1,0.08,0.5%,3,0.25,1.2%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Raphanus,Brassicaceae,Raphanus,genus,AF128105,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Sonchus asper,Asteraceae,Sonchus,species,KY968828,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Plantago erecta,Plantaginaceae,Plantago,species,AY101909,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Vicia sativa,Fabaceae,Vicia,species,DQ312198,1,0.08,0.5%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Verbeneae,Verbenaceae,NA,tribe,FJ867408,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Calandrinia ciliata,Montiaceae,Calandrinia,species,AY764087,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Rumex,Polygonaceae,Rumex,genus,AF189730,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Lythrum,Lythraceae,Lythrum,genus,MH711465,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Fagopyrum esculentum,Polygonaceae,Fagopyrum,species,KY945283,1,0.08,0.5%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Medicago sativa,Fabaceae,Medicago,species,AF053142,1,0.08,0.5%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Mentheae,Lamiaceae,NA,tribe,DQ017561,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Ipomoea,Convolvulaceae,Ipomoea,genus,MG730288,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Helianthus,Asteraceae,Helianthus,genus,JN115024,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Eurybia radulina,Asteraceae,Eurybia,species,MF964085,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Hedera rhombea,Araliaceae,Hedera,species,AB817811,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Plantago,Plantaginaceae,Plantago,genus,FJ024621,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Spergularia rubra,Caryophyllaceae,Spergularia,species,KU662347,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Bellardia trixago,Orobanchaceae,Bellardia,species,KX958618,2,0.15,1.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Spinacia oleracea,Chenopodiaceae,Spinacia,species,EU606218,1,0.08,0.5%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Dittrichia,Asteraceae,Dittrichia,genus,GU818558,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Trifolium,Fabaceae,Trifolium,genus,DQ312017,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Cerastium,Caryophyllaceae,Cerastium,genus,GU444015,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Carduus,Asteraceae,Carduus,genus,MH711464,2,0.15,1.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Crataegus heldreichii,Rosaceae,Crataegus,species,EF127016,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Galinsoga,Asteraceae,Galinsoga,genus,FJ696962,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Euphorbia amygdaloides,Euphorbiaceae,Euphorbia,species,JN010024,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Osmorhiza berteroi,Apiaceae,Osmorhiza,species,AF480090,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Erigeron canadensis,Asteraceae,Erigeron,species,EF108397,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Plantago,Plantaginaceae,Plantago,genus,AB281171,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Solanum,Solanaceae,Solanum,genus,MF963977,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Sinapis arvensis,Brassicaceae,Sinapis,species,KY968829,2,0.15,1.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Brassica rapa,Brassicaceae,Brassica,species,LR031570.11,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Brassica,Brassicaceae,Brassica,genus,KX709377,2,0.15,1.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Kickxia spuria,Plantaginaceae,Kickxia,species,KT031913,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Gnaphalieae,Asteraceae,NA,tribe,MF963967,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Claytonia,Montiaceae,Claytonia,genus,AY764040,1,0.08,0.5%,1,0.08,0.4%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Cynoglossum amabile,Boraginaceae,Cynoglossum,species,KU927683,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Helenium,Asteraceae,Helenium,genus,GU818553,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Alternaria,Pleosporaceae,Alternaria,genus,MN258559,1,0.08,0.5%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Hypochaeris glabra,Asteraceae,Hypochaeris,species,MF405670,1,0.08,0.5%,2,0.17,0.8%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Polygonum,Polygonaceae,Polygonum,genus,HM357902,2,0.15,1.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Clematis,Ranunculaceae,Clematis,genus,JF714638,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Ludwigia,Onagraceae,Ludwigia,genus,KX168323,1,0.08,0.5%,1,0.08,0.4%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Geranium robertianum,Geraniaceae,Geranium,species,AB689038,0,0.00,0.0%,2,0.17,0.8%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Agoseris,Asteraceae,Agoseris,genus,L13954,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Erodium cicutarium,Geraniaceae,Erodium,species,KX282130,1,0.08,0.5%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Lonicera dioica,Caprifoliaceae,Lonicera,species,GU269247,0,0.00,0.0%,4,0.33,1.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Cardamine hirsuta,Brassicaceae,Cardamine,species,AM905719,0,0.00,0.0%,1,0.08,0.4%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Ranunculus,Ranunculaceae,Ranunculus,genus,MH710907,0,0.00,0.0%,1,0.08,0.4%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Solanoideae,Solanaceae,NA,subfamily,AB373813,1,0.08,0.5%,1,0.08,0.4%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Helminthotheca echioides,Asteraceae,Helminthotheca,species,AF528491,1,0.08,0.5%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Calycadenia,Asteraceae,Calycadenia,genus,MF964028,1,0.08,0.5%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Rumex,Polygonaceae,Rumex,genus,KT438752,3,0.23,1.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Cucumis melo,Cucurbitaceae,Cucumis,species,EU312157,1,0.08,0.5%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Erodium,Geraniaceae,Erodium,genus,KX147523,0,0.00,0.0%,3,0.25,1.2%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Geranium dissectum,Geraniaceae,Geranium,species,AY944413,1,0.08,0.5%,4,0.33,1.5%,3,0.06,1.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Silybum marianum,Asteraceae,Silybum,species,AJ831537,4,0.31,2.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Cucumis sativus,Cucurbitaceae,Cucumis,species,KX231331,3,0.23,1.5%,1,0.08,0.4%,7,0.15,2.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Myriophyllum aquaticum,Haloragaceae,Myriophyllum,species,AF513836,0,0.00,0.0%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Marah macrocarpa,Cucurbitaceae,Marah,species,JN560192,1,0.08,0.5%,0,0.00,0.0%,4,0.08,1.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Persicaria viscosa,Polygonaceae,Persicaria,species,HQ843140,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Torilis,Apiaceae,Torilis,genus,AY548223,4,0.31,2.0%,0,0.00,0.0%,4,0.08,1.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Trifolium,Fabaceae,Trifolium,genus,DQ312091,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Brassica,Brassicaceae,Brassica,genus,KX709351,5,0.38,2.5%,1,0.08,0.4%,2,0.04,0.7%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Hedera helix,Araliaceae,Hedera,species,AM503887,2,0.15,1.0%,1,0.08,0.4%,11,0.23,3.8%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Plantago,Plantaginaceae,Plantago,genus,AY101883,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Trifolium hirtum,Fabaceae,Trifolium,species,AF053158,1,0.08,0.5%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Clematis,Ranunculaceae,Clematis,genus,MH710901,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Lotus unifoliolatus,Fabaceae,Lotus,species,DQ311969,3,0.23,1.5%,4,0.33,1.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Epilobium,Onagraceae,Epilobium,genus,MH703261,0,0.00,0.0%,4,0.33,1.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Carduus,Asteraceae,Carduus,genus,KY242483,5,0.38,2.5%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Lotus,Fabaceae,Lotus,genus,DQ311974,4,0.31,2.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Convolvulus arvensis,Convolvulaceae,Convolvulus,species,AY558826,1,0.08,0.5%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Castilleja rubicundula,Orobanchaceae,Castilleja,subspecies,EF103685,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Crepis erythia,Asteraceae,Crepis,species,MF405668,1,0.08,0.5%,4,0.33,1.5%,3,0.06,1.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Medicago polymorpha,Fabaceae,Medicago,species,DQ311981,7,0.54,3.4%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Plantago coronopus,Plantaginaceae,Plantago,species,AJ548987,3,0.23,1.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Plantago,Plantaginaceae,Plantago,genus,AF313036,6,0.46,2.9%,6,0.50,2.3%,1,0.02,0.3%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Trifolium,Fabaceae,Trifolium,genus,DQ312062,0,0.00,0.0%,1,0.08,0.4%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Carduus pycnocephalus,Asteraceae,Carduus,species,KY242484,5,0.38,2.5%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Centaurea solstitialis,Asteraceae,Centaurea,species,KU295763,4,0.31,2.0%,2,0.17,0.8%,2,0.04,0.7%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Herb,Verbena lasiostachys,Verbenaceae,Verbena,species,FJ867417,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Herb,Hemizonia,Asteraceae,Hemizonia,genus,MF964056,4,0.31,2.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
